#Tensor product hilbert space dimension: 4; Number of simulations: 1;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 10000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.25; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 78.675%
#Sample standard deviation for averaged success rate: 0.6476388605928461%
#Same average success rate for supplementary tests: [0.8017301730173018, 0.8815881588158816, 0.9017401740174017, 0.9103910391039104, 0.9147414741474147]%
#Sample STD for averaged success rate in supplementary tests: [0.002819350990662268, 0.0022847419673041837, 0.002104919166498595, 0.0020197444610468487, 0.001974807703967207]%
#Epoch	Loss	Sample STD
1	0.693686	0.000000
2	0.693299	0.000000
3	0.693347	0.000000
4	0.693305	0.000000
5	0.693330	0.000000
6	0.693324	0.000000
7	0.693313	0.000000
8	0.693166	0.000000
9	0.693242	0.000000
10	0.693156	0.000000
11	0.693214	0.000000
12	0.693068	0.000000
13	0.693081	0.000000
14	0.693086	0.000000
15	0.693114	0.000000
16	0.693070	0.000000
17	0.693040	0.000000
18	0.693122	0.000000
19	0.693125	0.000000
20	0.692985	0.000000
21	0.693130	0.000000
22	0.693131	0.000000
23	0.693098	0.000000
24	0.692972	0.000000
25	0.692940	0.000000
26	0.693080	0.000000
27	0.693074	0.000000
28	0.693060	0.000000
29	0.693040	0.000000
30	0.693066	0.000000
31	0.693021	0.000000
32	0.693064	0.000000
33	0.692985	0.000000
34	0.693021	0.000000
35	0.692981	0.000000
36	0.693036	0.000000
37	0.692972	0.000000
38	0.692929	0.000000
39	0.692990	0.000000
40	0.692900	0.000000
41	0.692982	0.000000
42	0.693010	0.000000
43	0.692948	0.000000
44	0.693018	0.000000
45	0.692874	0.000000
46	0.692957	0.000000
47	0.692864	0.000000
48	0.692913	0.000000
49	0.692799	0.000000
50	0.692999	0.000000
51	0.692881	0.000000
52	0.693006	0.000000
53	0.692980	0.000000
54	0.692986	0.000000
55	0.692793	0.000000
56	0.692998	0.000000
57	0.693005	0.000000
58	0.692943	0.000000
59	0.693010	0.000000
60	0.692959	0.000000
61	0.692903	0.000000
62	0.692963	0.000000
63	0.693025	0.000000
64	0.692909	0.000000
65	0.693015	0.000000
66	0.692939	0.000000
67	0.692941	0.000000
68	0.692947	0.000000
69	0.692912	0.000000
70	0.692944	0.000000
71	0.692949	0.000000
72	0.692816	0.000000
73	0.692861	0.000000
74	0.692947	0.000000
75	0.692924	0.000000
76	0.692777	0.000000
77	0.692952	0.000000
78	0.692980	0.000000
79	0.692970	0.000000
80	0.692738	0.000000
81	0.692981	0.000000
82	0.692944	0.000000
83	0.692910	0.000000
84	0.693013	0.000000
85	0.692940	0.000000
86	0.692919	0.000000
87	0.692844	0.000000
88	0.692890	0.000000
89	0.692935	0.000000
90	0.692970	0.000000
91	0.692920	0.000000
92	0.692928	0.000000
93	0.692942	0.000000
94	0.692949	0.000000
95	0.692730	0.000000
96	0.692805	0.000000
97	0.692702	0.000000
98	0.692984	0.000000
99	0.692947	0.000000
100	0.692868	0.000000
101	0.692894	0.000000
102	0.692955	0.000000
103	0.692965	0.000000
104	0.692837	0.000000
105	0.692845	0.000000
106	0.692927	0.000000
107	0.692863	0.000000
108	0.692856	0.000000
109	0.692830	0.000000
110	0.692870	0.000000
111	0.692979	0.000000
112	0.692902	0.000000
113	0.692881	0.000000
114	0.692871	0.000000
115	0.692904	0.000000
116	0.692900	0.000000
117	0.692787	0.000000
118	0.692903	0.000000
119	0.692921	0.000000
120	0.692823	0.000000
121	0.692812	0.000000
122	0.692820	0.000000
123	0.692887	0.000000
124	0.692895	0.000000
125	0.692877	0.000000
126	0.692895	0.000000
127	0.692865	0.000000
128	0.692852	0.000000
129	0.692814	0.000000
130	0.692861	0.000000
131	0.692927	0.000000
132	0.692805	0.000000
133	0.692773	0.000000
134	0.692807	0.000000
135	0.692873	0.000000
136	0.692660	0.000000
137	0.692841	0.000000
138	0.692751	0.000000
139	0.692778	0.000000
140	0.692867	0.000000
141	0.692851	0.000000
142	0.692810	0.000000
143	0.692784	0.000000
144	0.692824	0.000000
145	0.692839	0.000000
146	0.692696	0.000000
147	0.692804	0.000000
148	0.692801	0.000000
149	0.692716	0.000000
150	0.692657	0.000000
151	0.692785	0.000000
152	0.692629	0.000000
