#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 4000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 83.145%
#Sample standard deviation for averaged success rate: 0.3021005523828127%
#Same average success rate for supplementary tests: [0.8437743774377438, 0.9243324332433245, 0.9391639163916392, 0.9437843784378438, 0.9456695669566957]%
#Sample STD for averaged success rate in supplementary tests: [0.001311675972389475, 0.0007211820924569306, 0.0006880492201266663, 0.0006851276310876289, 0.0006850502283163276]%
#Epoch	Loss	Sample STD
1	0.697609	0.002030
2	0.693421	0.000025
3	0.693380	0.000036
4	0.693395	0.000020
5	0.693339	0.000024
6	0.693353	0.000028
7	0.693317	0.000025
8	0.693281	0.000030
9	0.693279	0.000017
10	0.693265	0.000020
11	0.693243	0.000027
12	0.693199	0.000018
13	0.693294	0.000007
14	0.693191	0.000029
15	0.693209	0.000018
16	0.693221	0.000022
17	0.693227	0.000027
18	0.693227	0.000013
19	0.693187	0.000019
20	0.693211	0.000018
21	0.693203	0.000020
22	0.693205	0.000018
23	0.693178	0.000027
24	0.693184	0.000023
25	0.693163	0.000023
26	0.693172	0.000025
27	0.693180	0.000021
28	0.693117	0.000024
29	0.693178	0.000034
30	0.693178	0.000016
31	0.693161	0.000018
32	0.693181	0.000022
33	0.693180	0.000014
34	0.693175	0.000015
35	0.693181	0.000019
36	0.693142	0.000028
37	0.693150	0.000026
38	0.693116	0.000027
39	0.693151	0.000018
40	0.693145	0.000018
41	0.693053	0.000057
42	0.693143	0.000034
43	0.693142	0.000034
44	0.693113	0.000025
45	0.693164	0.000015
46	0.693129	0.000017
47	0.693114	0.000027
48	0.693166	0.000013
49	0.693110	0.000028
50	0.693145	0.000017
51	0.693144	0.000025
52	0.693125	0.000020
53	0.693105	0.000033
54	0.693124	0.000022
55	0.693122	0.000029
56	0.693134	0.000021
57	0.693144	0.000019
58	0.693146	0.000021
59	0.693101	0.000046
60	0.693055	0.000042
61	0.693169	0.000019
62	0.693133	0.000025
63	0.693127	0.000029
64	0.693119	0.000021
65	0.693146	0.000015
66	0.693118	0.000033
67	0.693137	0.000015
68	0.693151	0.000022
69	0.693128	0.000020
70	0.693125	0.000025
71	0.693125	0.000028
72	0.693090	0.000044
73	0.693139	0.000029
74	0.693108	0.000026
75	0.693129	0.000018
76	0.693144	0.000021
77	0.693084	0.000026
78	0.693071	0.000031
79	0.693122	0.000018
80	0.693059	0.000032
81	0.693120	0.000018
82	0.693111	0.000033
83	0.693094	0.000017
84	0.693129	0.000031
85	0.693067	0.000032
86	0.693117	0.000023
87	0.693032	0.000028
88	0.693089	0.000023
89	0.693090	0.000047
90	0.693081	0.000023
91	0.693117	0.000016
92	0.693138	0.000026
93	0.693103	0.000023
94	0.693090	0.000022
95	0.693076	0.000012
96	0.693054	0.000021
97	0.693066	0.000044
98	0.693074	0.000018
99	0.693092	0.000019
100	0.693053	0.000036
101	0.693072	0.000019
102	0.693067	0.000035
103	0.693086	0.000019
104	0.693071	0.000026
105	0.693084	0.000024
106	0.693058	0.000029
107	0.693070	0.000027
108	0.693061	0.000027
109	0.693087	0.000029
110	0.693043	0.000044
111	0.693017	0.000037
112	0.693062	0.000029
113	0.693018	0.000036
114	0.693011	0.000034
115	0.693028	0.000035
116	0.693000	0.000043
117	0.693003	0.000040
118	0.693014	0.000046
119	0.693010	0.000040
120	0.692952	0.000043
121	0.692972	0.000046
122	0.692994	0.000050
123	0.692940	0.000055
124	0.692967	0.000058
125	0.692915	0.000055
126	0.692939	0.000060
127	0.692911	0.000069
128	0.692929	0.000069
129	0.692898	0.000082
130	0.692896	0.000079
131	0.692885	0.000079
132	0.692856	0.000085
133	0.692819	0.000095
134	0.692792	0.000113
135	0.692795	0.000113
136	0.692811	0.000123
137	0.692745	0.000116
138	0.692713	0.000132
139	0.692721	0.000148
140	0.692686	0.000138
141	0.692708	0.000154
142	0.692643	0.000170
143	0.692597	0.000185
144	0.692603	0.000185
145	0.692604	0.000192
146	0.692580	0.000195
147	0.692579	0.000219
148	0.692521	0.000220
149	0.692481	0.000236
150	0.692472	0.000248
151	0.692419	0.000246
152	0.692377	0.000245
153	0.692372	0.000261
154	0.692382	0.000274
155	0.692323	0.000274
156	0.692287	0.000283
157	0.692279	0.000285
158	0.692257	0.000294
159	0.692245	0.000296
160	0.692186	0.000294
161	0.692162	0.000310
162	0.692158	0.000320
163	0.692077	0.000318
164	0.692101	0.000321
165	0.692080	0.000326
166	0.692049	0.000329
167	0.691968	0.000336
168	0.691939	0.000324
169	0.691947	0.000361
170	0.691906	0.000344
171	0.691885	0.000343
172	0.691785	0.000336
173	0.691826	0.000364
174	0.691796	0.000362
175	0.691775	0.000360
176	0.691732	0.000362
177	0.691706	0.000372
178	0.691663	0.000374
179	0.691653	0.000378
180	0.691613	0.000372
181	0.691601	0.000370
182	0.691525	0.000373
183	0.691497	0.000393
184	0.691459	0.000383
185	0.691428	0.000367
186	0.691328	0.000402
187	0.691349	0.000384
188	0.691327	0.000375
189	0.691304	0.000376
190	0.691225	0.000388
191	0.691223	0.000375
192	0.691118	0.000395
193	0.691073	0.000390
194	0.691027	0.000375
195	0.691003	0.000376
196	0.690977	0.000372
197	0.690865	0.000380
198	0.690816	0.000381
199	0.690843	0.000381
200	0.690767	0.000388
201	0.690692	0.000378
202	0.690648	0.000385
203	0.690645	0.000390
204	0.690591	0.000395
205	0.690495	0.000395
206	0.690527	0.000390
207	0.690408	0.000401
208	0.690382	0.000395
209	0.690298	0.000407
210	0.690282	0.000411
211	0.690212	0.000409
212	0.690219	0.000395
213	0.690127	0.000403
214	0.690098	0.000400
215	0.690048	0.000401
216	0.690030	0.000409
217	0.689998	0.000405
218	0.689937	0.000415
219	0.689877	0.000422
220	0.689887	0.000408
221	0.689806	0.000411
222	0.689806	0.000423
223	0.689708	0.000418
224	0.689723	0.000410
225	0.689685	0.000424
226	0.689590	0.000426
227	0.689575	0.000433
228	0.689538	0.000439
229	0.689448	0.000431
230	0.689480	0.000457
231	0.689472	0.000436
232	0.689391	0.000455
233	0.689359	0.000458
234	0.689357	0.000461
235	0.689340	0.000469
236	0.689260	0.000463
237	0.689256	0.000472
238	0.689224	0.000483
239	0.689174	0.000489
240	0.689164	0.000486
241	0.689103	0.000502
242	0.689025	0.000506
243	0.689033	0.000506
244	0.688937	0.000516
245	0.688955	0.000512
246	0.688910	0.000533
247	0.688878	0.000529
248	0.688855	0.000521
249	0.688857	0.000524
250	0.688798	0.000558
251	0.688786	0.000549
252	0.688769	0.000548
253	0.688701	0.000555
254	0.688721	0.000560
255	0.688653	0.000550
256	0.688621	0.000581
257	0.688577	0.000570
258	0.688628	0.000580
259	0.688534	0.000598
260	0.688526	0.000592
261	0.688538	0.000581
262	0.688472	0.000598
263	0.688411	0.000614
264	0.688408	0.000621
265	0.688347	0.000615
266	0.688293	0.000617
267	0.688341	0.000624
268	0.688325	0.000631
269	0.688299	0.000623
270	0.688261	0.000640
271	0.688199	0.000635
272	0.688178	0.000642
273	0.688128	0.000659
274	0.688173	0.000662
275	0.688130	0.000645
276	0.688063	0.000658
277	0.688042	0.000669
278	0.688070	0.000662
279	0.687999	0.000668
280	0.688026	0.000663
281	0.687955	0.000677
282	0.687892	0.000694
283	0.687916	0.000679
284	0.687852	0.000702
285	0.687874	0.000684
286	0.687807	0.000702
287	0.687808	0.000695
288	0.687781	0.000699
289	0.687752	0.000704
290	0.687694	0.000715
291	0.687703	0.000721
292	0.687631	0.000720
293	0.687648	0.000715
294	0.687589	0.000708
295	0.687592	0.000741
296	0.687506	0.000720
297	0.687531	0.000731
298	0.687464	0.000718
299	0.687467	0.000725
300	0.687412	0.000724
301	0.687370	0.000755
302	0.687365	0.000730
303	0.687370	0.000743
304	0.687296	0.000757
305	0.687311	0.000755
306	0.687261	0.000758
307	0.687248	0.000776
308	0.687241	0.000750
309	0.687157	0.000772
310	0.687121	0.000770
311	0.687134	0.000764
312	0.687073	0.000781
313	0.687046	0.000771
314	0.687003	0.000791
315	0.687017	0.000773
316	0.686953	0.000774
317	0.686916	0.000777
318	0.686874	0.000806
319	0.686830	0.000799
320	0.686787	0.000790
321	0.686763	0.000789
322	0.686790	0.000791
323	0.686682	0.000804
324	0.686741	0.000788
325	0.686637	0.000790
326	0.686616	0.000801
327	0.686612	0.000791
